learning_rate,reg_alpha,reg_lambda,gamma,max_depth,min_child_weight,subsample,objective,nthread,max_delta_step,Accuracy,AUC Score (Train),Precision,Recall,f1-score,cv mean,cv Std,cv min,cv max
0.1,0.5,0.8,1,7,1,0.9,binary:logistic,-1,0,0.9504950495049505,1.0,1.0,0.5833333333333334,0.7368421052631579,0.7347494553376906,0.10348927869526453,0.6274509803921569,0.9166666666666667
0.1,0.5,0.8,1,8,1,0.9,binary:logistic,-1,0,0.9504950495049505,1.0,1.0,0.5833333333333334,0.7368421052631579,,,,
0.1,0.5,0.8,2,3,1,0.9,binary:logistic,-1,0,0.9108910891089109,0.99812734082397,1.0,0.25,0.4,,,,
0.1,0.5,0.8,2,4,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.9990636704119848,1.0,0.5,0.6666666666666666,0.7134216259603257,0.042131791552916666,0.6842105263157895,0.7962962962962963
0.1,0.5,0.8,2,5,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.9990636704119848,1.0,0.5,0.6666666666666666,0.7664108187134503,0.15548850468141137,0.5277777777777778,1.0
0.1,0.5,0.8,2,6,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.9990636704119848,1.0,0.5,0.6666666666666666,,,,
0.1,0.5,0.8,2,7,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.9990636704119848,1.0,0.5,0.6666666666666666,,,,
0.1,0.5,0.8,2,8,1,0.9,binary:logistic,-1,0,0.9405940594059405,0.9990636704119848,1.0,0.5,0.6666666666666666,,,,
0.1,0.5,0.8,3,3,1,0.9,binary:logistic,-1,0,0.900990099009901,0.995318352059925,1.0,0.16666666666666666,0.2857142857142857,0.8081630546955625,0.1028169412577445,0.6333333333333333,0.9
0.1,0.5,0.8,3,4,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9953183520599251,1.0,0.16666666666666666,0.2857142857142857,0.6267156862745098,0.13818313575857882,0.4509803921568627,0.8125
0.1,0.5,0.8,3,5,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9953183520599251,1.0,0.16666666666666666,0.2857142857142857,0.7101919934640523,0.13079363069334218,0.5526315789473685,0.9473684210526316
0.1,0.5,0.8,3,6,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9953183520599251,1.0,0.16666666666666666,0.2857142857142857,0.7606883384932921,0.15998300290405087,0.5416666666666667,1.0
0.1,0.5,0.8,3,7,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9953183520599251,1.0,0.16666666666666666,0.2857142857142857,0.6220674234606123,0.15044238561459092,0.33333333333333326,0.7647058823529411
0.1,0.5,0.8,3,8,1,0.9,binary:logistic,-1,0,0.900990099009901,0.9953183520599251,1.0,0.16666666666666666,0.2857142857142857,,,,
